,acc,taxid,lineage
0,AB002632,83201,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Saetivirus;Vibrio virus fs2
1,AB008550,35343,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Citexvirus;Pseudomonas virus phiCTX
3,Y13918,35343,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Citexvirus;Pseudomonas virus phiCTX
5,AB009866,71366,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;Biseptimavirus;Staphylococcus phage PVL
6,AB012112,29342,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Clostridium botulinum D phage
7,AB012573,127509,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Villovirus;Vibrio virus Vf33
8,AB012574,127511,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Villovirus;Vibrio virus Vf33
9,AB016282,10717,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Bacillus phage phi105
12,HM072038,10717,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Bacillus phage phi105
15,KY197768,10717,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;__;Bacillus phage phi105
18,AB036666,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
27,KX522565,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
36,MK976036,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
45,MN180248,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
54,MN180249,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
63,MN180250,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
72,MN180251,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
81,MN180252,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
90,MN180253,112596,Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;__;Wolbachia phage WO
