name	length	score	pvalue
NODE_1_length_117331_cov_106.407040	117331	0.840706429277724	0.0227989328159107
NODE_2_length_105961_cov_50.794969	105961	0.883206638091593	0.0158864904195974
NODE_3_length_78528_cov_14.369745	78528	0.954849636306606	0.00666990055784623
NODE_4_length_78161_cov_36.432105	78161	0.837036496082255	0.0234052874120786
NODE_5_length_74935_cov_46.334776	74935	0.667435848055771	0.051903953431967
NODE_6_length_67109_cov_8.715065	67109	0.891057925402676	0.0147950521464953
NODE_7_length_60631_cov_45.667624	60631	0.665068633306396	0.0522677661896677
NODE_8_length_56473_cov_66.142632	56473	0.985781409186352	0.00278923114237206
NODE_9_length_50836_cov_28.484532	50836	0.627271584070691	0.0607567305360175
NODE_10_length_49681_cov_52.444727	49681	0.878219791962425	0.0167353868542324
NODE_11_length_47903_cov_26.131562	47903	0.783421556990985	0.0310453553237934
NODE_12_length_44614_cov_27.590812	44614	0.746327478118407	0.0372301722047053
NODE_13_length_42709_cov_26.078703	42709	0.590706869948063	0.0682755275284987
NODE_14_length_42593_cov_61.318821	42593	0.603308167055038	0.066213921901528
NODE_15_length_39942_cov_32.951488	39942	0.566728596690823	0.0728838224593742
NODE_16_length_37854_cov_25.449059	37854	0.851158432253964	0.0209798690274072
NODE_17_length_37648_cov_114.999574	37648	0.926864490206046	0.0101867572156197
NODE_18_length_36109_cov_16.319493	36109	0.656239102930993	0.0543293718166384
NODE_19_length_33273_cov_37.382233	33273	0.518399940401225	0.0834343924326946
NODE_20_length_31904_cov_86.905774	31904	0.598453250265083	0.0666990055784623
NODE_21_length_30898_cov_25.624323	30898	0.987069214791622	0.00278923114237206
NODE_22_length_30168_cov_24.851825	30168	0.970010340473571	0.00521464952704342
NODE_23_length_29582_cov_48.543706	29582	0.957659877704701	0.00654862963861266
NODE_24_length_27839_cov_39.186510	27839	0.805634769942857	0.0278923114237206
NODE_25_length_27102_cov_32.212926	27102	0.822180548765412	0.0251030802813485
NODE_26_length_26938_cov_16.970874	26938	0.95305958498618	0.0067911714770798
NODE_28_length_26342_cov_62.620953	26342	0.926203245412546	0.0103080281348533
NODE_29_length_26308_cov_46.815031	26308	0.908283889412489	0.0126121756002911
NODE_30_length_25367_cov_8.563567	25367	0.991632211394102	0.00206160562697065
NODE_31_length_25299_cov_25.733560	25299	0.972280509153111	0.00472956585010914
NODE_32_length_25053_cov_121.054604	25053	0.853258837125978	0.0207373271889401
NODE_33_length_23999_cov_13.627715	23999	0.597268398754154	0.067062818336163
NODE_34_length_23295_cov_97.113167	23295	0.983550378976324	0.00327431481930633
NODE_35_length_22863_cov_79.982988	22863	0.965782796328394	0.00557846228474412
NODE_36_length_21628_cov_8.703889	21628	0.667451761128949	0.051903953431967
NODE_37_length_21019_cov_66.950057	21019	0.952080255750917	0.00691244239631336
NODE_38_length_19368_cov_31.752861	19368	0.937353691636527	0.00885277710405045
NODE_39_length_19034_cov_30.572686	19034	0.948958426405408	0.0071549842347805
NODE_40_length_17823_cov_13.440792	17823	0.78226671315543	0.0314091680814941
NODE_41_length_16209_cov_11.695741	16209	0.352940171096791	0.136793596895464
NODE_42_length_15944_cov_22.931147	15944	0.830276383549262	0.0243754547659471
NODE_44_length_14817_cov_32.915188	14817	0.862774819331611	0.0191608052389037
NODE_45_length_14523_cov_15.126970	14523	0.572851071990838	0.0717923841862721
NODE_46_length_14368_cov_4.583036	14368	0.569843213519006	0.0722774678632064
NODE_47_length_14339_cov_8.214436	14339	0.248633844376081	0.190516614115935
NODE_48_length_13833_cov_15.658586	13833	0.181709904658207	0.238903710890129
NODE_49_length_13385_cov_13.054239	13385	0.473157856874226	0.0950764006791171
NODE_50_length_12831_cov_17.394177	12831	0.593814420769475	0.067911714770798
NODE_51_length_12693_cov_29.442238	12693	0.986188625870172	0.00278923114237206
NODE_52_length_12394_cov_14.265094	12394	0.164479613648003	0.256366723259762
NODE_53_length_12326_cov_4.031212	12326	0.606896012967179	0.0654862963861266
NODE_54_length_11754_cov_5.886742	11754	0.341675677263306	0.141644433664807
NODE_55_length_11507_cov_10.013622	11507	0.997154058103138	0.000606354596167839
NODE_56_length_11459_cov_5.725360	11459	0.228975652350939	0.201188455008489
NODE_57_length_11138_cov_4.961112	11138	0.719709754785562	0.0422022798932816
NODE_58_length_11061_cov_7.717154	11061	0.0447323560093379	0.471258792141644
NODE_59_length_10925_cov_35.822631	10925	0.982370769207486	0.0033955857385399
NODE_60_length_10442_cov_11.638972	10442	0.121425558426596	0.302813485326219
NODE_61_length_10345_cov_13.403499	10345	0.236860660310872	0.195609992723745
NODE_62_length_9645_cov_6.667362	9645	0.16136076782211	0.258792141644434
NODE_63_length_9549_cov_3.574889	9549	0.654232790067507	0.0545719136551055
NODE_64_length_9342_cov_13.178206	9342	0.954548709174687	0.00666990055784623
NODE_65_length_8771_cov_10.198944	8771	0.361718983293527	0.133640552995392
NODE_66_length_8735_cov_12.730760	8735	0.131404614985388	0.289473684210526
NODE_67_length_8716_cov_8.318554	8716	0.0982428381105668	0.338709677419355
NODE_68_length_8378_cov_9.071849	8378	0.187849721252553	0.233931603201552
NODE_69_length_8255_cov_8.762073	8255	0.147553621309441	0.271768130002425
NODE_70_length_7947_cov_6.159782	7947	0.566490549059099	0.0728838224593742
NODE_71_length_7844_cov_5.078572	7844	0.556224559122248	0.0755517826825127
NODE_72_length_7839_cov_21.566161	7839	0.795677460805477	0.0289837496968227
NODE_73_length_7801_cov_47.237284	7801	0.859923289914505	0.0198884307543051
NODE_74_length_7797_cov_4.318781	7797	0.94577453530441	0.0075187969924812
NODE_75_length_7773_cov_10.261855	7773	0.256708285606639	0.186029590104293
NODE_76_length_7754_cov_4.484089	7754	0.948739443240748	0.00727625515401407
NODE_77_length_7653_cov_15.627402	7653	0.949022306024852	0.0071549842347805
NODE_78_length_7569_cov_22.979239	7569	0.844091839021778	0.0223138491389765
NODE_79_length_7385_cov_7.284038	7385	0.0816273400531675	0.371452825612418
NODE_80_length_7320_cov_6.717963	7320	0.273352502000465	0.177055542081009
NODE_81_length_7205_cov_23.899860	7205	0.812322857007697	0.0265583313121513
NODE_82_length_6908_cov_6.991828	6908	0.403490587862724	0.119209313606597
NODE_83_length_6885_cov_11.552709	6885	0.789770765399289	0.0301964588891584
NODE_84_length_6767_cov_4.963647	6767	0.562977158266064	0.0739752607324764
NODE_85_length_6719_cov_47.924520	6719	0.962528922380203	0.00582100412321125
NODE_86_length_6568_cov_7.341932	6568	0.198582653677055	0.225563909774436
NODE_87_length_6068_cov_4.971395	6068	0.615995605421188	0.063424690759156
NODE_88_length_5930_cov_55.342638	5930	0.818585711170247	0.0257094348775164
NODE_89_length_5870_cov_10.705933	5870	0.826012483417166	0.0246179966044143
NODE_91_length_5659_cov_5.754818	5659	0.379514713786607	0.126849381518312
NODE_92_length_5652_cov_11.048776	5652	0.891284489685197	0.0147950521464953
NODE_93_length_5552_cov_3.759323	5552	0.784694214731207	0.0308028134853262
NODE_94_length_5532_cov_11.833485	5532	0.701417000083036	0.0455978656318215
NODE_95_length_5357_cov_11.865145	5357	0.872150710267141	0.0177055542081009
NODE_96_length_5157_cov_7.486868	5157	0.775390182304626	0.0326218772738297
NODE_97_length_5130_cov_9.266010	5130	0.221908824548891	0.205675479020131
NODE_98_length_5104_cov_7.255298	5104	0.867668820400748	0.0183119088042687
NODE_99_length_4940_cov_10.609826	4940	0.895472181823026	0.0139461557118603
NODE_100_length_4754_cov_74.789530	4754	0.619533088815493	0.0624545234052874
NODE_101_length_4743_cov_6.624573	4743	0.077166512536807	0.381760853747271
NODE_102_length_4719_cov_11.280232	4719	0.77217514189576	0.0328644191122969
NODE_103_length_4697_cov_12.165877	4697	0.980408974680378	0.00363812757700703
NODE_104_length_4586_cov_4.038623	4586	0.418038313501613	0.113752122241087
NODE_105_length_4584_cov_4.113049	4584	0.945111344525278	0.00776133883094834
NODE_106_length_4405_cov_11.260460	4405	0.937291262546798	0.00885277710405045
NODE_107_length_4301_cov_5.657325	4301	0.0865395208581712	0.360902255639098
NODE_108_length_4285_cov_3.574232	4285	0.294755876619781	0.164079553723017
NODE_109_length_4211_cov_3.749278	4211	0.124656997494778	0.299175357749212
NODE_110_length_4170_cov_6.958688	4170	0.11051851503451	0.318336162988115
NODE_111_length_4161_cov_8.263517	4161	0.494532326133259	0.0896192093136066
NODE_112_length_4146_cov_31.524322	4146	0.920893746548054	0.0110356536502547
NODE_113_length_4118_cov_45.273197	4118	0.904555518805277	0.0128547174387582
NODE_114_length_3988_cov_3.275108	3988	0.960560257352876	0.00630608780014553
NODE_115_length_3940_cov_7.733076	3940	0.756672719657069	0.0355323793354354
NODE_116_length_3909_cov_6.468864	3909	0.79520703549892	0.0289837496968227
NODE_117_length_3898_cov_5.597450	3898	0.317229940015831	0.154620422022799
NODE_118_length_3840_cov_8.448877	3840	0.901821586105416	0.0129759883579918
NODE_119_length_3834_cov_4.749669	3834	0.963614251740242	0.00569973320397769
NODE_120_length_3748_cov_3.145139	3748	0.628953278011724	0.0601503759398496
NODE_121_length_3701_cov_2.978607	3701	0.851867465089002	0.0209798690274072
NODE_122_length_3697_cov_8.086766	3697	0.342229821160363	0.141523162745574
NODE_123_length_3696_cov_5.636638	3696	0.898170341750157	0.0135823429541596
NODE_124_length_3611_cov_11.894544	3611	0.5011555245689	0.0870725200097017
NODE_125_length_3572_cov_3.801820	3572	0.435588565851528	0.107446034440941
NODE_126_length_3519_cov_3.346998	3519	0.702779578098442	0.0453553237933544
NODE_127_length_3518_cov_7.074791	3518	0.205813344192734	0.219742905651225
NODE_128_length_3490_cov_8.656186	3490	0.920855785434846	0.0110356536502547
NODE_129_length_3480_cov_14.221606	3480	0.988904449442444	0.00254668930390492
NODE_130_length_3475_cov_3.618713	3475	0.45380184611599	0.102231384913898
NODE_131_length_3447_cov_4.104953	3447	0.202021815664099	0.22265340771283
NODE_132_length_3428_cov_8.316929	3428	0.1746370469047	0.245694882367208
NODE_133_length_3422_cov_19.161568	3422	0.992759744338819	0.00194033470773708
NODE_134_length_3419_cov_5.606421	3419	0.595670745560876	0.0671840892553966
NODE_135_length_3417_cov_7.470256	3417	0.655755706423693	0.0544506427358719
NODE_136_length_3401_cov_12.999103	3401	0.61990275454825	0.0622119815668203
NODE_137_length_3375_cov_4.073795	3375	0.211123718508929	0.214892068881882
NODE_138_length_3349_cov_12.078021	3349	0.930295104945795	0.00970167353868542
NODE_139_length_3343_cov_10.542579	3343	0.139553263999055	0.280257094348775
NODE_140_length_3342_cov_10.927289	3342	0.962115692849976	0.00594227504244482
NODE_141_length_3334_cov_3.960049	3334	0.269923323209778	0.178389522192578
NODE_142_length_3178_cov_2.577009	3178	0.429140960361494	0.109750181906379
NODE_143_length_3129_cov_22.813923	3129	0.0205116359977821	0.610720349260247
NODE_145_length_3078_cov_23.779358	3078	0.741821878461777	0.037593984962406
NODE_146_length_3063_cov_7.393285	3063	0.660825054136407	0.0529953917050691
NODE_147_length_3043_cov_9.991633	3043	0.725660006590266	0.0411108416201795
NODE_148_length_3035_cov_12.727181	3035	0.577855121445902	0.0705796749939365
NODE_149_length_3000_cov_7.851613	3000	0.774506413079968	0.0326218772738297
NODE_150_length_2958_cov_4.544609	2958	0.462020223959734	0.17371547016383
NODE_151_length_2941_cov_3.156618	2941	0.659243704404047	0.0882130186949416
NODE_152_length_2934_cov_4.250087	2934	0.582583355827649	0.119105512815402
NODE_153_length_2926_cov_4.221177	2926	0.343490921195992	0.245386056523299
NODE_154_length_2922_cov_6.843739	2922	0.238024499917164	0.338502012994778
NODE_155_length_2919_cov_16.060056	2919	0.925913466026176	0.0108024076214773
NODE_156_length_2915_cov_26.097902	2915	0.880854834401095	0.0214453701120102
NODE_157_length_2895_cov_3.479577	2895	0.539088747497492	0.137202535177582
NODE_158_length_2894_cov_47.346601	2894	0.918099877304852	0.0129549168892255
NODE_159_length_2851_cov_4.887697	2851	0.243353076768705	0.332602543149839
NODE_160_length_2851_cov_3.414521	2851	0.379010155459494	0.221230119185235
NODE_161_length_2843_cov_3.774390	2843	0.941181652338832	0.00741419858891059
NODE_162_length_2833_cov_3.347012	2833	0.238265082567532	0.338103400167417
NODE_163_length_2803_cov_2.001820	2803	0.77525275068428	0.0511818870331247
NODE_164_length_2790_cov_6.274589	2790	0.984667213220114	0.000916809502929804
NODE_165_length_2790_cov_3.641316	2790	0.245059950361395	0.331008091840395
NODE_166_length_2788_cov_5.714599	2788	0.609992956407164	0.107585602104676
NODE_167_length_2768_cov_16.582381	2768	0.666806512745683	0.0859010642962491
NODE_168_length_2759_cov_3.096524	2759	0.118698356698906	0.504404671742337
NODE_169_length_2754_cov_6.476843	2754	0.328238602690063	0.256945828516762
NODE_170_length_2752_cov_6.423433	2752	0.530736051513986	0.141268386016662
NODE_171_length_2739_cov_5.033159	2739	0.57986270311071	0.120381073862957
NODE_172_length_2725_cov_4.012360	2725	0.713968501427056	0.0705146091601228
NODE_173_length_2705_cov_2.105283	2705	0.630469540176154	0.0988559811854745
NODE_174_length_2703_cov_4.226586	2703	0.0681725778922767	0.623749352254156
NODE_175_length_2703_cov_2.334970	2703	0.97681664446395	0.00183361900585961
NODE_176_length_2654_cov_5.914198	2654	0.497886088614671	0.156774425000997
NODE_177_length_2636_cov_7.119721	2636	0.238211492591102	0.33818312273289
NODE_178_length_2571_cov_5.685215	2571	0.647484741009166	0.0921991469685494
NODE_179_length_2547_cov_3.116774	2547	0.217200522831937	0.3596284928449
NODE_180_length_2545_cov_2.965462	2545	0.72692006924675	0.0670068162793479
NODE_181_length_2519_cov_3.205357	2519	0.602242109130094	0.110535337027146
NODE_182_length_2518_cov_3.484369	2518	0.707744933515092	0.0722685056005102
NODE_183_length_2501_cov_3.734669	2501	0.527494191937329	0.143181727587994
NODE_184_length_2495_cov_3.401639	2495	0.68966397075403	0.0775301949216726
NODE_185_length_2489_cov_3.427280	2489	0.256856917618772	0.318611232909475
NODE_186_length_2481_cov_8.933636	2481	0.756018947928936	0.057400247139953
NODE_187_length_2473_cov_14.666253	2473	0.426070482462114	0.193566388966397
NODE_188_length_2469_cov_4.175228	2469	0.642518902616547	0.0941922111053534
NODE_189_length_2454_cov_3.246769	2454	0.589445518696332	0.116115916610197
NODE_190_length_2432_cov_11.309634	2432	0.931567334490582	0.0098058755530753
NODE_191_length_2412_cov_3.143827	2412	0.767070892892428	0.0536134252800255
NODE_192_length_2408_cov_7.256269	2408	0.160735352084664	0.435643959022601
NODE_193_length_2396_cov_23.345152	2396	0.89754186771196	0.0174991031211384
NODE_194_length_2383_cov_2.216065	2383	0.868910602066613	0.0246741340136326
NODE_195_length_2378_cov_3.075334	2378	0.0839679843947981	0.579862079961733
NODE_196_length_2374_cov_12.694113	2374	0.728294925494907	0.0664886196037788
NODE_198_length_2346_cov_6.362287	2346	0.790560321966304	0.0465978395184757
NODE_199_length_2346_cov_2.831515	2346	0.713066702240492	0.0709132219874836
NODE_200_length_2326_cov_3.757376	2326	0.864413831386974	0.0259496950611871
NODE_201_length_2320_cov_4.587368	2320	0.586292051660665	0.117351616375015
NODE_202_length_2315_cov_5.176991	2315	0.416409073829935	0.198549049308407
NODE_203_length_2300_cov_6.037862	2300	0.920403019108938	0.0123171363654482
NODE_204_length_2287_cov_3.532706	2287	0.599991039421021	0.111691314226492
NODE_205_length_2285_cov_2.679372	2285	0.405268110760283	0.205006577111651
NODE_206_length_2265_cov_2.640724	2265	0.0975765904204646	0.54685693785626
NODE_207_length_2257_cov_3.868756	2257	0.200438690463592	0.38015705345398
NODE_208_length_2254_cov_3.052296	2254	0.778647487399766	0.0501056323992506
NODE_209_length_2242_cov_6.937814	2242	0.636783596555369	0.0959461075457408
NODE_211_length_2239_cov_3.168498	2239	0.368012686513954	0.228325427512257
